2016-04-15	0
2016-04-16	11
2016-04-17	15
2016-04-18	14
2016-04-19	11
2016-04-20	2
2016-04-22	1
2016-04-23	4
2016-04-24	3
2016-04-25	0
2016-04-26	1
2016-04-29	8
2016-04-30	2
2016-05-01	4
2016-05-02	4
2016-05-03	0
2016-05-04	2
2016-05-06	0
2016-05-07	2
2016-05-08	0
2016-05-09	1
2016-05-12	3
2016-05-13	1
2016-05-14	1
2016-05-15	1
2016-05-16	0
2016-05-17	0
2016-05-18	4
2016-05-19	0
2016-05-20	0
2016-05-21	4
2016-05-22	0
2016-05-27	5
2016-05-28	6
2016-05-29	1
2016-05-30	0
2016-05-31	1
2016-06-01	0
2016-06-02	6
2016-06-03	4
2016-06-04	18
2016-06-05	16
2016-06-06	3
2016-06-07	4
2016-06-08	39
2016-06-09	57
2016-06-10	40
2016-06-11	25
2016-06-12	11
2016-06-13	11
2016-06-14	25
2016-06-15	493
2016-06-16	106
2016-06-17	43
2016-06-18	49
2016-06-19	43
2016-06-20	78
2016-06-21	26
2016-06-22	36
2016-06-23	24
2016-06-24	41
2016-06-25	37
2016-06-26	35
2016-06-27	18
2016-06-28	462
2016-06-29	372
2016-06-30	65
2016-07-01	48
2016-07-02	66
2016-07-03	50
2016-07-04	34
2016-07-05	33
2016-07-06	35
2016-07-07	38
2016-07-08	37
2016-07-09	34
2016-07-10	28
2016-07-11	23
2016-07-12	23
2016-07-13	30
2016-07-14	28
2016-07-15	108
2016-07-16	409
2016-07-17	228
2016-07-18	163
2016-07-19	830
2016-07-20	820
2016-07-21	1101
2016-07-22	780
2016-07-23	75
2016-07-24	97
2016-07-25	493
2016-07-26	509
2016-07-27	460
2016-07-28	382
2016-07-29	628
2016-07-30	623
2016-07-31	350
2016-08-01	274
2016-08-02	295
2016-08-03	219
2016-08-04	193
2016-08-05	255
2016-08-06	371
2016-08-07	256
2016-08-08	263
2016-08-09	207
2016-08-10	307
2016-08-11	313
2016-08-12	196
2016-08-13	120
2016-08-14	111
2016-08-15	114
2016-08-16	84
2016-08-17	70
2016-08-18	83
2016-08-19	229
2016-08-20	149
2016-08-21	95
2016-08-22	64
2016-08-23	63
2016-08-24	63
2016-08-25	70
2016-08-26	90
2016-08-27	162
2016-08-28	175
2016-08-29	66
2016-08-30	49
2016-08-31	43
2016-09-01	43
2016-09-02	65
2016-09-03	195
2016-09-04	100
2016-09-05	35
2016-09-06	26
2016-09-07	16
2016-09-08	23
2016-09-09	69
2016-09-10	162
2016-09-11	92
2016-09-12	58
2016-09-13	32
2016-09-14	51
2016-09-15	203
2016-09-16	179
2016-09-17	120
2016-09-18	35
2016-09-19	16
2016-09-20	22
2016-09-21	23
2016-09-22	39
2016-09-23	53
2016-09-24	119
2016-09-25	71
2016-09-26	28
2016-09-27	21
2016-09-28	44
2016-09-29	30
2016-09-30	75
2016-10-01	130
2016-10-02	83
2016-10-03	64
2016-10-04	47
2016-10-05	52
2016-10-06	51
2016-10-07	41
2016-10-08	17
2016-10-09	17
2016-10-10	21
2016-10-11	26
2016-10-12	25
2016-10-13	16
2016-10-14	72
2016-10-15	100
2016-10-16	66
2016-10-17	18
2016-10-18	29
2016-10-19	21
2016-10-20	29
2016-10-21	40
2016-10-22	122
2016-10-23	48
2016-10-24	54
2016-10-25	18
2016-10-26	29
2016-10-27	30
2016-10-28	96
2016-10-29	135
2016-10-30	63
2016-10-31	19
2016-11-01	40
2016-11-02	58
2016-11-03	49
2016-11-04	53
2016-11-05	85
2016-11-06	50
2016-11-07	15
2016-11-08	26
2016-11-09	20
2016-11-10	14
2016-11-11	32
2016-11-12	53
2016-11-13	38
2016-11-14	26
2016-11-15	17
2016-11-16	11
2016-11-17	16
2016-11-18	35
2016-11-19	98
2016-11-20	40
2016-11-21	12
2016-11-22	13
2016-11-23	26
2016-11-24	31
2016-11-25	38
2016-11-26	60
2016-11-27	41
2016-11-28	11
2016-11-29	22
2016-11-30	9
2016-12-01	20
2016-12-02	41
2016-12-03	61
2016-12-04	28
2016-12-05	22
2016-12-06	12
2016-12-07	16
2016-12-08	18
2016-12-09	42
2016-12-10	73
2016-12-11	45
2016-12-12	19
2016-12-13	15
2016-12-14	14
2016-12-15	12
2016-12-16	34
2016-12-17	53
2016-12-18	31
2016-12-19	16
2016-12-20	11
2016-12-21	10
2016-12-22	14
2016-12-23	21
2016-12-24	51
2016-12-25	31
2016-12-26	20
2016-12-27	15
2016-12-28	19
2016-12-29	11
2016-12-30	26
2016-12-31	48
2017-01-01	66
2017-01-02	24
2017-01-03	7
2017-01-04	11
2017-01-05	13
2017-01-06	29
2017-01-07	35
2017-01-08	46
2017-01-09	14
2017-01-10	8
2017-01-11	15
2017-01-12	28
2017-01-13	30
2017-01-14	34
2017-01-15	32
2017-01-16	16
2017-01-17	15
2017-01-18	18
2017-01-19	23
2017-01-20	29
2017-01-21	14
2017-01-22	17
2017-01-23	19
2017-01-24	23
2017-01-25	29
2017-01-26	17
2017-01-27	33
2017-01-28	41
2017-01-29	23
2017-01-30	24
2017-01-31	11
2017-02-01	17
2017-02-02	22
2017-02-03	23
2017-02-04	17
2017-02-05	16
2017-02-06	13
2017-02-07	18
2017-02-08	14
2017-02-09	17
2017-02-10	27
2017-02-11	14
2017-02-12	21
2017-02-13	8
2017-02-14	18
2017-02-15	12
2017-02-16	9
2017-02-17	7
2017-02-18	19
2017-02-19	16
2017-02-20	12
2017-02-21	8
2017-02-22	7
2017-02-23	10
2017-02-24	13
2017-02-25	23
2017-02-26	27
2017-02-27	13
2017-02-28	12
2017-03-01	11
2017-03-02	11
2017-03-03	13
2017-03-04	29
2017-03-05	17
2017-03-06	14
2017-03-07	11
2017-03-08	2
2017-03-09	15
2017-03-10	16
2017-03-11	28
2017-03-12	12
2017-03-13	4
2017-03-14	8
2017-03-15	3
2017-03-16	5
2017-03-17	19
2017-03-18	36
2017-03-19	21
2017-03-20	9
2017-03-21	3
2017-03-22	8
2017-03-23	4
2017-03-24	25
2017-03-25	31
2017-03-26	16
2017-03-27	7
2017-03-28	4
2017-03-29	7
2017-03-30	9
2017-03-31	15
2017-04-01	19
2017-04-02	16
2017-04-03	13
2017-04-04	14
2017-04-05	4
2017-04-06	1
2017-04-07	15
2017-04-08	30
2017-04-09	16
2017-04-10	5
2017-04-11	3
2017-04-12	6
2017-04-13	6
2017-04-14	9
2017-04-15	35
2017-04-16	15
2017-04-17	4
2017-04-18	0
2017-04-19	3
2017-04-21	6
2017-04-22	29
2017-04-23	11
2017-04-24	5
2017-04-25	8
2017-04-26	6
2017-04-27	9
2017-04-28	12
